id,problem,answer,solution,source,type,created_at
1134,"Let $a \star b=\sin a \cos b$ for all real numbers $a$ and $b$. If $x$ and $y$ are real numbers such that $x \star y-y \star x=1$, what is the maximum value of $x \star y+y \star x$ ?",1,We have $x \star y+y \star x=\sin x \cos y+\cos x \sin y=\sin (x+y) \leq 1$. Equality is achieved when $x=\frac{\pi}{2}$ and $y=0$.,HMMT February 2011 Guts #2,algebra,2025-11-25 01:20:48.013175+00
1135,Evaluate $2011 \times 20122012 \times 201320132013-2013 \times 20112011 \times 201220122012$.,0,"Both terms are equal to $2011 \times 2012 \times 2013 \times 1 \times 10001 \times 100010001$.
4. [4] L",HMMT February 2011 Guts #3,number_theory,2025-11-25 01:20:48.013175+00
1136,"Let $p$ be the answer to this question. If a point is chosen uniformly at random from the square bounded by $x=0, x=1, y=0$, and $y=1$, what is the probability that at least one of its coordinates is greater than $p$ ?",$\frac{\sqrt{5}-1}{2}$,"The probability that a randomly chosen point has both coordinates less than $p$ is $p^{2}$, so the probability that at least one of its coordinates is greater than $p$ is $1-p^{2}$. Since $p$ is the answer to this question, we have $1-p^{2}=p$, and the only solution of $p$ in the interval $[0,1]$ is $\frac{\sqrt{5}-1}{2}$.",HMMT February 2011 Guts #4,misc,2025-11-25 01:20:48.013175+00
1137,"Rachelle picks a positive integer $a$ and writes it next to itself to obtain a new positive integer $b$. For instance, if $a=17$, then $b=1717$. To her surprise, she finds that $b$ is a multiple of $a^{2}$. Find the product of all the possible values of $\frac{b}{a^{2}}$.",77,"Suppose $a$ has $k$ digits. Then $b=a\left(10^{k}+1\right)$. Thus $a$ divides $10^{k}+1$. Since $a \geq 10^{k-1}$, we have $\frac{10^{k}+1}{a} \leq 11$. But since none of 2,3 , or 5 divide $10^{k}+1$, the only possibilities are 7 and 11 . These values are obtained when $a=143$ and $a=1$, respectively.",HMMT February 2011 Guts #5,number_theory,2025-11-25 01:20:48.013175+00
1138,"For any positive real numbers $a$ and $b$, define $a \circ b=a+b+2 \sqrt{a b}$. Find all positive real numbers $x$ such that $x^{2} \circ 9 x=121$.",$\frac{31-3\sqrt{53}}{2}$,"Since $a \circ b=(\sqrt{a}+\sqrt{b})^{2}$, we have $x^{2} \circ 9 x=(x+3 \sqrt{x})^{2}$. Moreover, since $x$ is positive, we have $x+3 \sqrt{x}=11$, and the only possible solution is that $\sqrt{x}=\frac{-3+\sqrt{53}}{2}$, so $x=\frac{31-3 \sqrt{53}}{2}$",HMMT February 2011 Guts #7,algebra,2025-11-25 01:20:48.013175+00
1139,"Find the smallest $k$ such that for any arrangement of 3000 checkers in a $2011 \times 2011$ checkerboard, with at most one checker in each square, there exist $k$ rows and $k$ columns for which every checker is contained in at least one of these rows or columns.",1006,"If there is a chip in every square along a main diagonal, then we need at least 1006 rows and columns to contain all these chips. We are left to show that 1006 is sufficient.
Take the 1006 rows with greatest number of chips. Assume without loss of generality they are the first 1006 rows. If the remaining 1005 rows contain at most 1005 chips, then we can certainly choose 1006 columns that contain these chips. Otherwise, there exists a row that contains at least 2 chips, so every row in the first 1006 rows must contain at least 2 chips. But this means that there are at least $2 \times 1006+1006=3018$ chips in total. Contradiction.",HMMT February 2011 Guts #8,misc,2025-11-25 01:20:48.013175+00
1140,"Segments $A A^{\prime}, B B^{\prime}$, and $C C^{\prime}$, each of length 2, all intersect at a point $O$. If $\angle A O C^{\prime}=\angle B O A^{\prime}= \angle C O B^{\prime}=60^{\circ}$, find the maximum possible value of the sum of the areas of triangles $A O C^{\prime}, B O A^{\prime}$, and $C O B^{\prime}$.
10. [6]",,,HMMT February 2011 Guts #9,geometry,2025-11-25 01:20:48.013175+00
1141,"In how many ways can one fill a $4 \times 4$ grid with a 0 or 1 in each square such that the sum of the entries in each row, column, and long diagonal is even?",256,"First we name the elements of the square as follows:

| $a_{11}$ | $a_{12}$ | $a_{13}$ | $a_{14}$ |
| :--- | :--- | :--- | :--- |
| $a_{21}$ | $a_{22}$ | $a_{23}$ | $a_{24}$ |
| $a_{31}$ | $a_{32}$ | $a_{33}$ | $a_{34}$ |
| $a_{41}$ | $a_{42}$ | $a_{43}$ | $a_{44}$ |

We claim that for any given values of $a_{11}, a_{12}, a_{13}, a_{21}, a_{22}, a_{23}, a_{32}$, and $a_{33}$ (the + signs in the diagram below), there is a unique way to assign values to the rest of the entries such that all necessary sums are even.

$$
\begin{array}{cccc}
+ & + & + & a_{14} \\
+ & + & + & a_{24} \\
a_{31} & + & + & a_{34} \\
a_{41} & a_{42} & a_{43} & a_{44}
\end{array}
$$

Taking additions mod 2, we have

$$
\begin{aligned}
& a_{14}=a_{11}+a_{12}+a_{13} \\
& a_{24}=a_{21}+a_{22}+a_{23} \\
& a_{44}=a_{11}+a_{22}+a_{33} \\
& a_{42}=a_{12}+a_{22}+a_{32} \\
& a_{43}=a_{13}+a_{23}+a_{33}
\end{aligned}
$$

Since the 4 th column, the 4 th row, and the 1 st column must have entries that sum to 0 , we have

$$
\begin{aligned}
& a_{34}=a_{14}+a_{24}+a_{44}=a_{12}+a_{13}+a_{21}+a_{23}+a_{33} \\
& a_{41}=a_{42}+a_{43}+a_{44}=a_{11}+a_{12}+a_{13}+a_{23}+a_{32} \\
& a_{31}=a_{11}+a_{21}+a_{41}=a_{12}+a_{13}+a_{21}+a_{23}+a_{32}
\end{aligned}
$$

It is easy to check that the sum of entries in every row, column, and the main diagonal is even. Since there are $2^{8}=256$ ways to assign the values to the initial 8 entries, there are exactly 256 ways to fill the board.",HMMT February 2011 Guts #10,counting,2025-11-25 01:20:48.013175+00
1142,"Rosencrantz and Guildenstern play a game in which they repeatedly flip a fair coin. Let $a_{1}=4$, $a_{2}=3$, and $a_{n}=a_{n-1}+a_{n-2}$ for all $n \geq 3$. On the $n$th flip, if the coin is heads, Rosencrantz pays Guildenstern $a_{n}$ dollars, and, if the coin is tails, Guildenstern pays Rosencrantz $a_{n}$ dollars. If play continues for 2010 turns, what is the probability that Rosencrantz ends up with more money than he started with?",$\frac{1}{2}-\frac{1}{2^{1341}}$,"Since Rosencrantz and Guildenstern have an equal chance of winning each toss, both have the same probability of ending up with a positive amount of money. Let $x$ denote the probability that they both end up with zero dollars. We wish to find $\frac{1-x}{2}$.
We have $x$ is equal to the probability that

$$
s_{2010}:=i_{1} a_{1}+i_{2} a_{2}+\cdots i_{2010} a_{2010}=0
$$
where $i_{n}$ has an equal probability of being either 1 or -1 .
We claim that $s_{2010}=0$ if and only if $i_{3 n}=-i_{3 n-1}=-i_{3 n-2}$ for all $n \leq 670$. We start with the following lemma.
Lemma. We have $a_{n}>\sum_{k=1}^{n-3} a_{k}$ for all $n \geq 4$.
Proof: For the case $n=4, a_{4}=a_{3}+a_{2}=2 a_{2}+a_{1}>a_{1}$. In case $n>4$, we have
$$
a_{n}=a_{n-2}+a_{n-1}>a_{n-2}+\sum_{k=1}^{n-4} a_{k}=a_{n-4}+\sum_{k=1}^{n-3} a_{k}>\sum_{k=1}^{n-3} a_{k} .
$$

It suffices to show that $s_{3 n}=0$ only if $i_{3 k}=-i_{3 k-1}=-i_{3 k-2}$ for all $k \leq n$. The triangle inequality implies the following:

$$
\begin{aligned}
& 0 \leq\left|\left|i_{3 n-2} a_{3 n-2}+s_{3 n-3}\right|-\left|i_{3 n-1} a_{3 n-1}+i_{3 n} a_{3 n}\right|\right| \leq\left|s_{3 n}\right|=0 \\
& 0 \leq\left|\left|i_{3 n-1} a_{3 n-1}+s_{3 n-3}\right|-\left|i_{3 n-2} a_{3 n-2}+i_{3 n} a_{3 n}\right|\right| \leq\left|s_{3 n}\right|=0
\end{aligned}
$$

By the lemma, we have

$$
\begin{aligned}
a_{3 n-2}+\sum_{k=1}^{3 n-3} a_{k}<a_{3 n-2}+a_{3 n} & < \\
a_{3 n-1}+\sum_{k=1}^{3 n-3} a_{k}<a_{3 n-1}+a_{3 n-3}+a_{3 n-4}+a_{3 n-2} & =
\end{aligned} \quad a_{3 n-1}+a_{3 n}
$$

$i_{3 n}=i_{3 n-1}$ implies $\left|a_{3 n-2}+\sum_{k=1}^{3 n-3} a_{k}\right|<\left|i_{3 n-1} a_{3 n-1}+i_{3 n} a_{3 n}\right|$ and $i_{3 n}=i_{3 n-2}$ implies $\mid a_{3 n-1}+ \sum_{k=1}^{3 n-3} a_{k}\left|<\left|i_{3 n-2} a_{3 n-2}+i_{3 n} a_{3 n}\right|\right.$, which are both contradictions; therefore, we must have $i_{3 n}=-i_{3 n-1}$ and $i_{3 n}=-i_{3 n-2}$.
The probability that $i_{3 n}=-i_{3 n-1}=-i_{3 n-2}$ is $\frac{1}{4}$, so $x=\left(\frac{",HMMT February 2011 Guts #11,misc,2025-11-25 01:20:48.013175+00
1143,"A sequence of integers $\left\{a_{i}\right\}$ is defined as follows: $a_{i}=i$ for all $1 \leq i \leq 5$, and $a_{i}=a_{1} a_{2} \cdots a_{i-1}-1$ for all $i>5$. Evaluate $a_{1} a_{2} \cdots a_{2011}-\sum_{i=1}^{2011} a_{i}^{2}$.

## $14{ }^{\text {",-1941,"For all $i \geq 6$, we have $a_{i}=a_{1} a_{2} \cdots a_{i-1}-1$. So

$$
\begin{aligned}
a_{i+1} & =a_{1} a_{2} \cdots a_{i}-1 \\
& =\left(a_{1} a_{2} \cdots a_{i-1}\right) a_{i}-1 \\
& =\left(a_{i}+1\right) a_{i}-1 \\
& =a_{i}^{2}+a_{i}-1
\end{aligned}
$$

Therefore, for all $i \geq 6$, we have $a_{i}^{2}=a_{i+1}-a_{i}+1$, and we obtain that

$$
\begin{aligned}
& a_{1} a_{2} \cdots a_{2011}-\sum_{i=1}^{2011} a_{i}^{2} \\
= & a_{2012}+1-\sum_{i=1}^{5} a_{i}^{2}-\sum_{i=6}^{2011} a_{i}^{2} \\
= & a_{2012}+1-\sum_{i=1}^{5} i^{2}-\sum_{i=6}^{2011}\left(a_{i+1}-a_{i}+1\right) \\
= & a_{2012}+1-55-\left(a_{2012}-a_{6}+2006\right) \\
= & a_{6}-2060 \\
= & -1941
\end{aligned}
$$",HMMT February 2011 Guts #12,number_theory,2025-11-25 01:20:48.013175+00
1144,"Let $a, b$, and $c$ be the side lengths of a triangle, and assume that $a \leq b$ and $a \leq c$. Let $x=\frac{b+c-a}{2}$. If $r$ and $R$ denote the inradius and circumradius, respectively, find the minimum value of $\frac{a x}{r R}",3,"It is well-known that both $\frac{a b c}{4 R}$ and $\frac{r(a+b+c)}{2}$ are equal to the area of triangle $A B C$. Thus $\frac{a b c}{4 R}=\frac{r(a+b+c)}{2}$, and

$$
R r=\frac{a b c}{2(a+b+c)} .
$$

Since $a \leq b$ and $a \leq c$, we have $\frac{a^{2}}{b c} \leq 1$. We thus obtain that

$$
\begin{aligned}
\frac{a x}{r R} & =\frac{a(b+c-a) / 2}{\frac{a b c}{2(a+b+c)}} \\
& =\frac{(a+b+c)(b+c-a)}{b c} \\
& =\frac{(b+c)^{2}-a^{2}}{b c} \\
& =\frac{(b+c)^{2}}{b c}-\frac{a^{2}}{b c} \\
& =\frac{b}{c}+\frac{c}{b}+2-\frac{a^{2}}{b c} \\
& \geq \frac{b}{c}+\frac{c}{b}+2-1 \\
& \geq 2+2-1 \\
& =3
\end{aligned}
$$

Equality is achieved when $a=b=c$.",HMMT February 2011 Guts #13,geometry,2025-11-25 01:20:48.013175+00
1145,"Danny has a set of 15 pool balls, numbered $1,2, \ldots, 15$. In how many ways can he put the balls in 8 indistinguishable bins such that the sum of the numbers of the balls in each bin is 14,15 , or 16 ?",122,"Clearly, the balls numbered $15,14, \ldots, 9,8$ must be placed in separate bins, so we number the bins $15,14, \ldots, 9,8$. Note that bins 15 and 14 may contain only one ball while all other bins must contain at least two balls. We have two cases to examine.
Case 1: Only one bin contains exactly one ball. Let $a_{i}$ denote the number of ways to place the balls numbered $1,2, \ldots, i-1$ into the bins numbered $15,14, \ldots, 15-i+1$. We can place either $i-1$ or $i-2$ into the bin numbered $15-i+1$. If we place $i-1$ in there, then there are $a_{i-1}$ ways to finish packing the rest. If we place $i-2$ in this bin, then $i-1$ must be placed in the bin numbered $15-i+2$, so there are $a_{i-2}$ ways to place the rest of the balls. Therefore $a_{i}=a_{i-1}+a_{i-2}$. Since $a_{1}=2$ and $a_{2}=3$, the sequence $\left\{a_{i}\right\}$ is the Fibonacci sequence, and $a_{7}=34$.
Case 2: Both bins 14 and 15 contain only one ball. A pair of balls from 1-7 must be put together to one of the bins numbered 8 through 13 . This pair has sum at most 8 , so we can count for all the cases.

| Balls | Number of packings |
| :---: | :---: |
| 1,2 | 16 |
| 1,3 | 10 |
| 1,4 | 12 |
| 1,5 | 12 |
| 1,6 | 10 |
| 1,7 | 8 |
| 2,3 | 6 |
| 2,4 | 4 |
| 2,5 | 4 |
| 2,6 | 3 |
| 3,4 | 2 |
| 3,5 | 1 |

Therefore, there are 88 possibilities in this case, and the total number of possibilities is 122",HMMT February 2011 Guts #14,counting,2025-11-25 01:20:48.013175+00
1146,Find all irrational numbers $x$ such that $x^{3}-17 x$ and $x^{2}+4 x$ are both rational numbers.,$-2 \pm \sqrt{5}$,"From $x^{2}+4 x \in \mathbb{Q}$, we deduce that $(x+2)^{2}=x^{2}+4 x+4$ is also rational, and hence $x=-2 \pm \sqrt{y}$, where $y$ is rational. Then $x^{3}-17 x=(26-6 y) \pm(y-5) \sqrt{y}$, which forces $y$ to be 5 . Hence $x=-2 \pm \sqrt{5}$. It is easy to check that both values satisfy the problem conditions.",HMMT February 2011 Guts #15,algebra,2025-11-25 01:20:48.013175+00
1147,"Let $R$ be a semicircle with diameter $X Y$. A trapezoid $A B C D$ in which $A B$ is parallel to $C D$ is circumscribed about $R$ such that $A B$ contains $X Y$. If $A D=4, C D=5$, and $B C=6$, determine $A B$",10,"We claim that for any given values of $a_{11}, a_{12}, a_{13}, a_{21}, a_{22}, a_{23}, a_{32}$, and $a_{33}$ (the + signs in the diagram below), there is a unique way to assign values to the rest of the entries such that all necessary sums are even.

$$
\begin{array}{cccc}
+ & + & + & a_{14} \\
+ & + & + & a_{24} \\
a_{31} & + & + & a_{34} \\
a_{41} & a_{42} & a_{43} & a_{44}
\end{array}
$$

Taking additions mod 2, we have

$$
\begin{aligned}
& a_{14}=a_{11}+a_{12}+a_{13} \\
& a_{24}=a_{21}+a_{22}+a_{23} \\
& a_{44}=a_{11}+a_{22}+a_{33} \\
& a_{42}=a_{12}+a_{22}+a_{32} \\
& a_{43}=a_{13}+a_{23}+a_{33}
\end{aligned}
$$

Since the 4 th column, the 4 th row, and the 1 st column must have entries that sum to 0 , we have

$$
\begin{aligned}
& a_{34}=a_{14}+a_{24}+a_{44}=a_{12}+a_{13}+a_{21}+a_{23}+a_{33} \\
& a_{41}=a_{42}+a_{43}+a_{44}=a_{11}+a_{12}+a_{13}+a_{23}+a_{32} \\
& a_{31}=a_{11}+a_{21}+a_{41}=a_{12}+a_{13}+a_{21}+a_{23}+a_{32}
\end{aligned}
$$

It is easy to check that the sum of entries in every row, column, and the main diagonal is even. Since there are $2^{8}=256$ ways to assign the values to the initial 8 entries, there are exactly 256 ways to fill the board.
11. [8] Rosencrantz and Guildenstern play a game in which they repeatedly flip a fair coin. Let $a_{1}=4$, $a_{2}=3$, and $a_{n}=a_{n-1}+a_{n-2}$ for all $n \geq 3$. On the $n$th flip, if the coin is heads, Rosencrantz pays Guildenstern $a_{n}$ dollars, and, if the coin is tails, Guildenstern pays Rosencrantz $a_{n}$ dollars. If play continues for 2010 turns, what is the probability that Rosencrantz ends up with more money than he started with?
Answer: $\frac{1}{2}-\frac{1}{2^{1341}}$
Since Rosencrantz and Guildenstern have an equal chance of winning each toss, both have the same probability of ending up with a positive amount of money. Let $x$ denote the probability that they both end up with zero dollars. We wish to find $\frac{1-x}{2}$.
We have $x$ is equal to the probability that

$$
s_{2010}:=i_{1} a_{1}+i_{2} a_{2}+\cdots i_{2010} a_{2010}=0
$$
where $i_{n}$ has an equal probability of being either 1 or -1 .
We claim that $s_{2010}=0$ if and only if $i_{3 n}=-i_{3 n-1}=-i_{3 n-2}$ for all $n \leq 670$. We start with the following lemma.
Lemma. We have $a_{n}>\sum_{k=1}^{n-3} a_{k}$ for all $n \geq 4$.
Proof: For the case $n=4, a_{4}=a_{3}+a_{2}=2 a_{2}+a_{1}>a_{1}$. In case $n>4$, we have
$$
a_{n}=a_{n-2}+a_{n-1}>a_{n-2}+\sum_{k=1}^{n-4} a_{k}=a_{n-4}+\sum_{k=1}^{n-3} a_{k}>\sum_{k=1}^{n-3} a_{k} .
$$

It suffices to show that $s_{3 n}=0$ only if $i_{3 k}=-i_{3 k-1}=-i_{3 k-2}$ for all $k \leq n$. The triangle inequality implies the following:

$$
\begin{aligned}
& 0 \leq\left|\left|i_{3 n-2} a_{3 n-2}+s_{3 n-3}\right|-\left|i_{3 n-1} a_{3 n-1}+i_{3 n} a_{3 n}\right|\right| \leq\left|s_{3 n}\right|=0 \\
& 0 \leq\left|\left|i_{3 n-1} a_{3 n-1}+s_{3 n-3}\right|-\left|i_{3 n-2} a_{3 n-2}+i_{3 n} a_{3 n}\right|\right| \leq\left|s_{3 n}\right|=0
\end{aligned}
$$

By the lemma, we have

$$
\begin{aligned}
a_{3 n-2}+\sum_{k=1}^{3 n-3} a_{k}<a_{3 n-2}+a_{3 n} & < \\
a_{3 n-1}+\sum_{k=1}^{3 n-3} a_{k}<a_{3 n-1}+a_{3 n-3}+a_{3 n-4}+a_{3 n-2} & =
\end{aligned} \quad a_{3 n-1}+a_{3 n}
$$

$i_{3 n}=i_{3 n-1}$ implies $\left|a_{3 n-2}+\sum_{k=1}^{3 n-3} a_{k}\right|<\left|i_{3 n-1} a_{3 n-1}+i_{3 n} a_{3 n}\right|$ and $i_{3 n}=i_{3 n-2}$ implies $\mid a_{3 n-1}+ \sum_{k=1}^{3 n-3} a_{k}\left|<\left|i_{3 n-2} a_{3 n-2}+i_{3 n} a_{3 n}\right|\right.$, which are both contradictions; therefore, we must have $i_{3 n}=-i_{3 n-1}$ and $i_{3 n}=-i_{3 n-2}$.
The probability that $i_{3 n}=-i_{3 n-1}=-i_{3 n-2}$ is $\frac{1}{4}$, so $x=\left(\frac{1}{4}\right)^{670}=\frac{1}{2^{1340}}$, and $\frac{1-x}{2}=\frac{1}{2}-\frac{1}{2^{1341}}$.
12. [8] A sequence of integers $\left\{a_{i}\right\}$ is defined as follows: $a_{i}=i$ for all $1 \leq i \leq 5$, and $a_{i}=a_{1} a_{2} \cdots a_{i-1}-1$ for all $i>5$. Evaluate $a_{1} a_{2} \cdots a_{2011}-\sum_{i=1}^{2011} a_{i}^{2}$.
Answer: -1941
For all $i \geq 6$, we have $a_{i}=a_{1} a_{2} \cdots a_{i-1}-1$. So

$$
\begin{aligned}
a_{i+1} & =a_{1} a_{2} \cdots a_{i}-1 \\
& =\left(a_{1} a_{2} \cdots a_{i-1}\right) a_{i}-1 \\
& =\left(a_{i}+1\right) a_{i}-1 \\
& =a_{i}^{2}+a_{i}-1
\end{aligned}
$$

Therefore, for all $i \geq 6$, we have $a_{i}^{2}=a_{i+1}-a_{i}+1$, and we obtain that

$$
\begin{aligned}
& a_{1} a_{2} \cdots a_{2011}-\sum_{i=1}^{2011} a_{i}^{2} \\
= & a_{2012}+1-\sum_{i=1}^{5} a_{i}^{2}-\sum_{i=6}^{2011} a_{i}^{2} \\
= & a_{2012}+1-\sum_{i=1}^{5} i^{2}-\sum_{i=6}^{2011}\left(a_{i+1}-a_{i}+1\right) \\
= & a_{2012}+1-55-\left(a_{2012}-a_{6}+2006\right) \\
= & a_{6}-2060 \\
= & -1941
\end{aligned}
$$

13. [8] Let $a, b$, and $c$ be the side lengths of a triangle, and assume that $a \leq b$ and $a \leq c$. Let $x=\frac{b+c-a}{2}$. If $r$ and $R$ denote the inradius and circumradius, respectively, find the minimum value of $\frac{a x}{r R}$.
Answer: 3
It is well-known that both $\frac{a b c}{4 R}$ and $\frac{r(a+b+c)}{2}$ are equal to the area of triangle $A B C$. Thus $\frac{a b c}{4 R}=\frac{r(a+b+c)}{2}$, and

$$
R r=\frac{a b c}{2(a+b+c)} .
$$

Since $a \leq b$ and $a \leq c$, we have $\frac{a^{2}}{b c} \leq 1$. We thus obtain that

$$
\begin{aligned}
\frac{a x}{r R} & =\frac{a(b+c-a) / 2}{\frac{a b c}{2(a+b+c)}} \\
& =\frac{(a+b+c)(b+c-a)}{b c} \\
& =\frac{(b+c)^{2}-a^{2}}{b c} \\
& =\frac{(b+c)^{2}}{b c}-\frac{a^{2}}{b c} \\
& =\frac{b}{c}+\frac{c}{b}+2-\frac{a^{2}}{b c} \\
& \geq \frac{b}{c}+\frac{c}{b}+2-1 \\
& \geq 2+2-1 \\
& =3
\end{aligned}
$$

Equality is achieved when $a=b=c$.
14. [8] Danny has a set of 15 pool balls, numbered $1,2, \ldots, 15$. In how many ways can he put the balls in 8 indistinguishable bins such that the sum of the numbers of the balls in each bin is 14,15 , or 16 ?
Answer: 122
Clearly, the balls numbered $15,14, \ldots, 9,8$ must be placed in separate bins, so we number the bins $15,14, \ldots, 9,8$. Note that bins 15 and 14 may contain only one ball while all other bins must contain at least two balls. We have two cases to examine.
Case 1: Only one bin contains exactly one ball. Let $a_{i}$ denote the number of ways to place the balls numbered $1,2, \ldots, i-1$ into the bins numbered $15,14, \ldots, 15-i+1$. We can place either $i-1$ or $i-2$ into the bin numbered $15-i+1$. If we place $i-1$ in there, then there are $a_{i-1}$ ways to finish packing the rest. If we place $i-2$ in this bin, then $i-1$ must be placed in the bin numbered $15-i+2$, so there are $a_{i-2}$ ways to place the rest of the balls. Therefore $a_{i}=a_{i-1}+a_{i-2}$. Since $a_{1}=2$ and $a_{2}=3$, the sequence $\left\{a_{i}\right\}$ is the Fibonacci sequence, and $a_{7}=34$.
Case 2: Both bins 14 and 15 contain only one ball. A pair of balls from 1-7 must be put together to one of the bins numbered 8 through 13 . This pair has sum at most 8 , so we can count for all the cases.

| Balls | Number of packings |
| :---: | :---: |
| 1,2 | 16 |
| 1,3 | 10 |
| 1,4 | 12 |
| 1,5 | 12 |
| 1,6 | 10 |
| 1,7 | 8 |
| 2,3 | 6 |
| 2,4 | 4 |
| 2,5 | 4 |
| 2,6 | 3 |
| 3,4 | 2 |
| 3,5 | 1 |

Therefore, there are 88 possibilities in this case, and the total number of possibilities is 122 .
15. [10] Find all irrational numbers $x$ such that $x^{3}-17 x$ and $x^{2}+4 x$ are both rational numbers.

Answer: $-2 \pm \sqrt{5}$

From $x^{2}+4 x \in \mathbb{Q}$, we deduce that $(x+2)^{2}=x^{2}+4 x+4$ is also rational, and hence $x=-2 \pm \sqrt{y}$, where $y$ is rational. Then $x^{3}-17 x=(26-6 y) \pm(y-5) \sqrt{y}$, which forces $y$ to be 5 . Hence $x=-2 \pm \sqrt{5}$. It is easy to check that both values satisfy the problem conditions.
16. [10] Let $R$ be a semicircle with diameter $X Y$. A trapezoid $A B C D$ in which $A B$ is parallel to $C D$ is circumscribed about $R$ such that $A B$ contains $X Y$. If $A D=4, C D=5$, and $B C=6$, determine $A B$.
Answer: 10
We claim that $A B=A D+B C$. Le",HMMT February 2011 Guts #16,geometry,2025-11-25 01:20:48.013175+00
1148,"Given positive real numbers $x, y$, and $z$ that satisfy the following system of equations:

$$
\begin{aligned}
& x^{2}+y^{2}+x y=1, \\
& y^{2}+z^{2}+y z=4, \\
& z^{2}+x^{2}+z x=5,
\end{aligned}
$$

find $x+y+z$.",$\sqrt{5+2\sqrt{3}}$,"Let $O$ denote the origin. Construct vectors $O A, O B$, and $O C$ as follows: The lengths of $O A, O B$, and $O C$ are $x, y$, and $z$, respectively, and the angle between any two vectors is $120^{\circ}$. By the Law of Cosines, we have $A B=1, B C=2$, and $A C=\sqrt{5}$. Thus $A B C$ is a right triangle, and $O$ is its Fermat point. The area of triangle $A B C$ is equal to $\frac{1}{2} \cdot 1 \cdot 2=1$. But the area is also equal to the sum of the areas of triangles $A O B, B O C$, and $C O A$, which is equal to $\frac{1}{2} \cdot x y \cdot \frac{\sqrt{3}}{2}+\frac{1}{2} \cdot y z \cdot \frac{\sqrt{3}}{2}+\frac{1}{2} \cdot z x \cdot \frac{\sqrt{3}}{2}$. We thus obtain $x y+y z+z x=\frac{4}{\sqrt{3}}$. Adding the three equations given in the problem and subtracting both sides by $x y+y z+z x$, we obtain $x^{2}+y^{2}+z^{2}=5-\frac{2}{\sqrt{3}}$. Therefore $(x+y+z)^{2}=\left(x^{2}+y^{",HMMT February 2011 Guts #17,algebra,2025-11-25 01:20:48.013175+00
