source,answer,source_file
HMMT February 2010 Combinatorics #8,\binom{4019}{2011},HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #9,\frac{2^{2009}-1}{3 \cdot 2^{2008}-1},HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Combinatorics #10,49,HMMT_February_2010_Combinatorics_Solutions.pdf
HMMT February 2010 Geometry #1,\frac{3\pi}{7},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #2,\sqrt{5},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #3,\pi,HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #4,\sqrt{\frac{216}{145}},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #5,2,HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #6,\frac{\sqrt{6}+\sqrt{2}+8}{4},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #7,9\sqrt{3} + \frac{21\pi}{2},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #8,20,HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #9,70° \text{ and } 160°,HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Geometry #10,2 - \sqrt{3},HMMT_February_2010_Geometry_Solutions.pdf
HMMT February 2010 Guts #1,12345679,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #2,1,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #3,22,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #4,99,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #5,\frac{1}{5040},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #6,7,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #7,19754321,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #8,\frac{21}{2},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #9,\frac{1}{4},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #10,15,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #11,\frac{9\pi}{4},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #12,\binom{34}{9},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #13,\frac{17}{2},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #14,2016,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #15,\frac{20481}{4096},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #16,\frac{27}{35},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #17,\sqrt{10},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #18,y = (1 + \sqrt{2})x \text{ and } y = (1 - \sqrt{2})x,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #19,6240,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #20,\frac{1}{4},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #21,2,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #22,\frac{5}{8},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #23,1004,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #24,\frac{13}{3},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #25,94,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #26,1 - \frac{\sin^2(2^{2011}x)}{4^{2011}\sin^2(x)},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #27,\sqrt[3]{4},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #28,20160,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #29,29,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #30,764,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #31,\frac{2101}{625},HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #32,0.96039,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #33,335,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #34,1019,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #35,130348,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2010 Guts #36,3426576,HMMT_February_2010_Guts_Solutions.pdf
HMMT February 2011 Guts #1,\frac{1}{3},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #2,1,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #3,0,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #4,\frac{\sqrt{5}-1}{2},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #5,77,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #6,144,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #7,\frac{31-3\sqrt{53}}{2},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #8,1006,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #9,\sqrt{3},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #10,256,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #11,\frac{1}{2} - \frac{1}{2^{1341}},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #12,-1941,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #13,3,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #14,122,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #15,-2 \pm \sqrt{5},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #16,10,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #17,\sqrt{5 + 2\sqrt{3}},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #18,64 \cdot 3^{4020},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #19,127,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #20,82.5,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #21,\frac{3}{4},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #22,117690,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #23,30604,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #24,41,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #25,2 + \sqrt{2},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #26,1152,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #27,4,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #28,135,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #29,\frac{1106}{5},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #30,3^n + (-2)^{n+1} - 1,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #31,359108,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #32,1 - n\frac{p-1}{p+1} + \frac{p^2(p^{2n}-1)}{(p+1)^2},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #33,\frac{11}{2111}\binom{2111}{100},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #34,25,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #35,2047^{100},HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2011 Guts #36,768,HMMT_February_2011_Guts_Solutions.pdf
HMMT February 2012 Algebra #1,\sqrt{4^{2012} + 1},HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #2,168,HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #3,"\left(\frac{1-\sqrt{3}}{2}, \frac{3-\sqrt{3}}{2}\right)",HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #4,\frac{1005}{1006},HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #5,"\left(\frac{\sqrt{30}}{3}, \frac{\sqrt{30}}{4}, \frac{2\sqrt{30}}{5}\right), \left(\frac{\sqrt{30}}{3}, \frac{\sqrt{30}}{2}, \frac{\sqrt{30}}{5}\right)",HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #6,2^{1006}\sqrt{2^{2010} + 2} - 2^{2011},HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #7,y = \sqrt{2},HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #8,84,HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #9,18,HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Algebra #10,126,HMMT_February_2012_Algebra_Solutions.pdf
HMMT February 2012 Combinatorics #1,95,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #2,\frac{19}{40},HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #3,61,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #4,330,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #5,131922,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #6,22212,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #7,\frac{2^{2014} - 4}{3},HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #8,67950,HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #9,\frac{1}{2062300},HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Combinatorics #10,"1, \frac{2^{2011}+1}{3 \cdot 2^{2011}}",HMMT_February_2012_Combinatorics_Solutions.pdf
HMMT February 2012 Geometry #1,\frac{\sqrt{17}}{3},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #2,\frac{3\sqrt{5}}{4},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #3,\frac{540}{7},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #4,\frac{4\sqrt{3}}{3},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #5,\frac{3}{4},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #6,\frac{\sqrt{6}}{3},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #7,\frac{1}{2^{2011}},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #8,"\{\frac{9+\sqrt{33}}{2}, \frac{9-\sqrt{33}}{2}\}",HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #9,8 + 4\sqrt{2},HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Geometry #10,"(-1006, 1006\sqrt{3}), (-1006, -1006\sqrt{3})",HMMT_February_2012_Geometry_Solutions.pdf
HMMT February 2012 Guts #1,\sqrt{10},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #2,\frac{2}{4025},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #3,1,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #4,4 \cdot 3^{2011},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #5,\frac{2}{3},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #6,72,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #7,372,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #8,23.5,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #9,30°,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #10,5,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #11,2\sqrt{5},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #12,2982,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #13,1010309,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #14,\sqrt{59} - 3,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #15,-8048,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #16,\frac{1}{24},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #17,\frac{2^{17}}{125},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #18,\frac{\sqrt{6}}{2},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #19,1 - 2^{2012},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #20,74,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #21,5586,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #22,\frac{2\sqrt{170} - 9\sqrt{5}}{5},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #23,\frac{\sqrt{6} + \sqrt{2}}{2},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #24,\frac{2}{3},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #25,\left(\frac{1 + 2^{1005}}{2^{1007}}\right)^2,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #26,\sqrt{10},HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #27,2,HMMT_February_2012_Guts_Solutions.pdf
HMMT February 2012 Guts #28,18\pi,HMMT_February_2012_Guts_Solutions.pdf
