"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"Let $A_{1}, A_{2}, \ldots, A_{m}$ be finite sets of size 2012 and let $B_{1}, B_{2}, \ldots, B_{m}$ be finite sets of size 2013 such that $A_{i} \cap B_{j}=\emptyset$ if and only if $i=j$. Find the maximum value of $m$.","C(4025,2012)","In general, we will show that if each of the sets $A_{i}$ contain $a$ elements and if each of the sets $B_{j}$ contain $b$ elements, then the maximum value for $m$ is $\binom{a+b}{a}$.
Let $U$ denote the union of all the sets $A_{i}$ and $B_{j}$ and let $|U|=n$. Consider the $n!$ orderings of the elements of $U$. Note that for any specific ordering, there is at most one value of $i$ such that all the elements in $A_{i}$ come before all the elements in $B_{i}$ in this ordering; this follows since $A_{j}$ shares at least one element with $B_{i}$ and $B_{j}$ shares at least one element with $A_{i}$ for any other $j \neq i$.
On the other hand, the number of ways to permute the $(a+b)$ elements in $A_{i} \cup B_{i}$ so that all the elements in $A_{i}$ come first is equal to $a!b!$. Therefore, the number of permutations of $U$ where all the elements in $A_{i}$ come before all the elements in $B_{i}$ is equal to:
$$
n!\cdot \frac{a!b!}{(a+b)!}=\frac{n!}{\binom{a+b}{a}}
$$

Summing over all $m$ values of $i$, the total number of orderings where, for some $i$, the elements in $A_{i}$ come before $B_{i}$ is equal to

$$
\frac{n!m}{\binom{a+b}{a}}
$$

But there are at most $u$ ! such orderings, since there are $u$ ! total orderings, so it follows that $m \leq\binom{ a+b}{a}$. Equality is attained by taking $U$ to be a set containing $(a+b)$ elements, letting $A_{i}$ range over all $a$-element subsets of $U$, and letting $B_{i}=U \backslash A_{i}$ for each $i$.","HMMT February 2013 Guts #29","counting","numerical","False","1","","6.5"
"How many positive integers $k$ are there such that

$$
\frac{k}{2013}(a+b)=l c m(a, b)
$$
has a solution in positive integers $(a, b)$ ?","1006","First, we can let $h=\operatorname{gcd}(a, b)$ so that $(a, b)=(h A, h B)$ where $\operatorname{gcd}(A, B)=1$. Making these subtitutions yields $\frac{k}{2013}(h A+h B)=h A B$, so $k=\frac{2013 A B}{A+B}$. Because $A$ and $B$ are relatively prime, $A+B$ shares no common factors with neither $A$ nor $B$, so in order to have $k$ be an integer, $A+B$ must divide 2013, and since $A$ and $B$ are positive, $A+B>1$.
We first show that for different possible values of $A+B$, the values of $k$ generated are distinct. In particular, we need to show that $\frac{2013 A B}{A+B} \neq \frac{2013 A^{\prime} B^{\prime}}{A^{\prime}+B^{\prime}}$ whenever $A+B \neq A^{\prime}+B^{\prime}$. Assume that such an equality exists, and cross-multiplying yields $A B\left(A^{\prime}+B^{\prime}\right)=A^{\prime} B^{\prime}(A+B)$. Since $A B$ is relatively prime to $A+B$, we must have $A+B$ divide $A^{\prime}+B^{\prime}$. With a similar argument, we can show that $A^{\prime}+B^{\prime}$ must divide $A+B$, so $A+B=A^{\prime}+B^{\prime}$.
Now, we need to show that for the same denominator $A+B$, the values of $k$ generated are also distinct for some relatively prime non-ordered pair ( $A, B$ ). Let $n=A+B=C+D$. Assume that $\frac{2013 A B}{n}=\frac{2013 C D}{n}$, or equivalently, $A(n-A)=C(n-C)$. After some rearrangement, we have $(C+A)(C-A)=n(C-A)$ This implies that either $C=A$ or $C=n-A=B$. But in either case, $(C, D)$ is some permutation of $(A, B)$.
Our answer can therefore be obtained by summing up the totients of the factors of 2013 (excluding 1) and dividing by 2 since $(A, B)$ and $(B, A)$ correspond to the same $k$ value, so our answer is $\frac{2013-1}{2}=$ 1006.","HMMT February 2013 Guts #30","number_theory","numerical","True","5","6","7.0"
"Let $A B C D$ be a quadrilateral inscribed in a unit circle with center $O$. Suppose that $\angle A O B= \angle C O D=135^{\circ}, B C=1$. Let $B^{\prime}$ and $C^{\prime}$ be the reflections of $A$ across $B O$ and $C O$ respectively. Let $H_{1}$ and $H_{2}$ be the orthocenters of $A B^{\prime} C^{\prime}$ and $B C D$, respectively. If $M$ is the midpoint of $O H_{1}$, and $O^{\prime}$ is the reflection of $O$ about the midpoint of $M H_{2}$, compute $O O^{\prime}$.","(8-√6-3√2)/4","Put the diagram on the complex plane with $O$ at the origin and $A$ at 1. Let $B$ have coordinate $b$ and $C$ have coordinate $c$. We obtain easily that $B^{\prime}$ is $b^{2}, C^{\prime}$ is $c^{2}$, and $D$ is $b c$. Therefore, $H_{1}$ is $1+b^{2}+c^{2}$ and $H_{2}$ is $b+c+b c$ (we have used the fact that for triangles on the unit circle, their orthocenter is the sum of the vertices). Finally, we have that $M$ is $\frac{1}{2}\left(1+b^{2}+c^{2}\right)$, so the reflection of $O$ about the midpoint of $M H_{2}$ is $\frac{1}{2}\left(1+b^{2}+c^{2}+2 b+2 c+2 b c\right)=\frac{1}{2}(b+c+1)^{2}$, so we just seek $\frac{1}{2}|b+c+1|^{2}$. But we know that $b=\operatorname{cis} 135^{\circ}$ and $c=\operatorname{cis} 195^{\circ}$, so we obtain that this value is $\frac{1}{4}(8-\sqrt{6}-3 \sqrt{2})$.","HMMT February 2013 Guts #31","geometry","numerical","True","4","27","6.0"
"For an even positive integer $n$ Kevin has a tape of length $4 n$ with marks at $-2 n,-2 n+1, \ldots, 2 n- 1,2 n$. He then randomly picks $n$ points in the set $-n,-n+1,-n+2, \ldots, n-1, n$, and places a stone on each of these points. We call a stone 'stuck' if it is on $2 n$ or $-2 n$, or either all the points to the right, or all the points to the left, all contain stones. Then, every minute, Kevin shifts the unstuck stones in the following manner:
- He picks an unstuck stone uniformly at random and then flips a fair coin.
- If the coin came up heads, he then moves that stone and every stone in the largest contiguous set containing that stone one point to the left. If the coin came up tails, he moves every stone in that set one point right instead.
- He repeats until all the stones are stuck.

Let $p_{k}$ be the probability that at the end of the process there are exactly $k$ stones in the right half. Evaluate

$$
\frac{p_{n-1}-p_{n-2}+p_{n-3}-\ldots+p_{3}-p_{2}+p_{1}}{p_{n-1}+p_{n-2}+p_{n-3}+\ldots+p_{3}+p_{2}+p_{1}}
$$
in terms of $n$.","1/(n-1)","After we have selected the positions of the initial $n$ stones, we number their positions: $a_{1}<a_{2}<\ldots<a_{n}$. The conditions on how we move the stones imply that the expected value of ( $a_{i}-a_{j}$ ) after $t$ minutes is still equal to $a_{i}-a_{j}$. In addition, if $b_{i}$ is the final position of the $i$ th stone, $E\left(b_{i+1}-b_{i}\right)=E\left(a_{i+1}-a_{i}\right)$. But this quantity is also equal to $(3 n+2) \cdot p_{i}+1 \cdot\left(1-p_{i}\right)$.
Now, let's calculate the expected value of $a_{i+1}-a i$. This is the sum over $g=a_{i+1}-a_{i}$, and $j$, the number of spaces before $a_{i}$ of $g \cdot\binom{j}{i-1}\binom{2 n-j-g}{n-i+1}$, so we get
$$
\frac{1}{\binom{2 n+1}{n}} \sum_{g} g \cdot \sum_{j}\binom{j}{i-1}\binom{2 n-j-g}{n-i-1}
$$

But $\sum_{j}\binom{j}{i-1}\binom{2 n-j-g}{n-i-1}$ is just $\binom{2 n-g+1}{n-1}$. Therefore the expected value of $a_{i+1}-a_{i}$ is independent of $i$, so $p_{i}$ is constant for all $i \neq 0, n$. It follows that the answer is $\frac{1}{n-1}$.","HMMT February 2013 Guts #32","misc","numerical","True","2","1","6.5"
"Compute the value of $1^{25}+2^{24}+3^{23}+\ldots+24^{2}+25^{1}$. If your answer is $A$ and the correct answer is $C$, then your score on this problem will be $\left\lfloor 25 \min \left(\left(\frac{A}{C}\right)^{2},\left(\frac{C}{A}\right)^{2}\right)\right\rfloor$.
34. [25] For how many unordered sets $\{","66071772829247409","The sum is extremely unimodal, so we want to approximate it using its largest term. Taking logs of each term, we see that the max occurs when $(26-n) \log n$ peaks, and taking derivatives gives
$x+x \log x=26$
From here it's easy to see that the answer is around 10 , and slightly less (it's actually about 8.3 , but in any case it's hard to find powers of anything except 10). Thus the largest term will be something like $10^{16}$, which is already an order of magnitude within the desired answer $6.6 \times 10^{16}$.","HMMT February 2013 Guts #33","misc","numerical","False","1","","7.0"
"For how many unordered sets $\{a, b, c, d\}$ of positive integers, none of which exceed 168, do there exist integers $w, x, y, z$ such that $(-1)^{w} a+(-1)^{x} b+(-1)^{y} c+(-1)^{z} d=168$ ? If your answer is $A$ and the correct answer is $C$, then your score on this problem will be $\left\lfloor 25 e^{-3 \frac{","761474","As an approximation, we assume $a, b, c, d$ are ordered to begin with (so we have to divide by 24 later) and add to 168 with a unique choice of signs; then, it suffices to count $e+f+g+h=168$ with each $e, f, g, h$ in $[-168,168]$ and then divide by 24 (we drop the condition that none of them can be zero because it shouldn't affect the answer that much).
One way to do this is generating functions. We want the coefficient of $t^{168}$ in the generating function
$\left(t^{-168}+t^{-167}+\ldots+t^{167}+t^{168}\right)^{4}=\left(t^{169}-t^{-168}\right)^{4} /(t-1)^{4}$
Clearing the negative powers, it suffices to find the coefficient of $t^{840}$ in
$\left(t^{337}-1\right)^{4} /(t-1)^{4}=\left(1-4 t^{337}+6 t^{674}-\ldots\right) \frac{1}{(t-1)^{4}}$.
To do this we expand the bottom as a power series in $t$ :
$\frac{1}{(t-1)^{4}}=\sum_{n \geq 0}\binom{n+3}{3} t^{n}$
It remains to calculate $\binom{840+3}{3}-4 \cdot\binom{840-337+3}{3}+6 \cdot\binom{840-674+3}{3}$. This is almost exactly equal to $\frac{1}{6}\left(843^{3}-4 \cdot 506^{3}+6 \cdot 169^{3}\right) \approx 1.83 \times 10^{7}$.
Dividing by 24 , we arrive at an estimation 762500 . Even if we use a bad approximation $\frac{1}{6 \cdot 24}\left(850^{3}-4 \cdot\right. 500^{3}+6 \cdot 150^{3}$ ) we get approximately 933000 , which is fairly close to the answer.","HMMT February 2013 Guts #34","counting","numerical","True","4","474",""
"Let $P$ be the number to partition 2013 into an ordered tuple of prime numbers? What is $\log _{2}(P)$ ? If your answer is $A$ and the correct answer is $C$, then your score on this problem will be $\left\lfloor\frac{125}{2}\left(\min \left(\frac{C}{A}, \frac{A}{C}\right)-\frac{3}{5}\right)\right\rfloor$ or zero, whichever is larger.","614.519","We use the following facts and heuristics.
(1) The ordered partitions of $n$ into any positive integers (not just primes) is $2^{n-1}$. This can be guessed by checking small cases and finding a pattern, and is not difficult to prove.
(2) The partitions of $\frac{2013}{n}$ into any positive integers equals the partitions of 2013 into integers from the set $\{n, 2 n, 3 n, \cdots\}$.
(3) The small numbers matter more when considering partitions.
(4) The set of primes $\{2,3,5,7, \cdots\}$ is close in size (near the small numbers) to $\{3,6,9, \cdots\}$ or $\{2,4,6, \cdots\}$.
(5) The prime numbers get very sparse compared to the above two sets in the larger numbers.

Thus, using these heuristics, the number of partitions of 2013 into primes is approximately $2^{\frac{2013}{3}-1}$ or $2^{\frac{2013}{2}-1}$, which, taking logarithms, give 670 and 1005.5, respectively.","HMMT February 2013 Guts #35","number_theory","numerical","False","1","",""
"(Mathematicians A to Z) Below are the names of 26 mathematicians, one for each letter of the alphabet. Your answer to this question should be a subset of $\{A, B, \cdots, Z\}$, where each letter represents the corresponding mathematician. If two mathematicians in your subset have birthdates that are within 20 years of each other, then your score is 0 . Otherwise, your score is $\max (3(k-3), 0)$ where $k$ is the number of elements in your subset.","{O,D,P,E,B,C,R,H,K,S,Y}","A knowledgeable math historian might come up with this 11 -element subset, earning 24 points: $\{\mathrm{O}, \mathrm{D}, \mathrm{P}, \mathrm{E}, \mathrm{B}, \mathrm{C}, \mathrm{R}, \mathrm{H}, \mathrm{K}, \mathrm{S}, \mathrm{Y}\}$.","HMMT February 2013 Guts #36","misc","numerical","False","1","",""
"Let $d$ be a real number such that every non-degenerate quadrilateral has at least two interior angles with measure less than $d$ degrees. What is the minimum possible value for $d$ ?","120","The sum of the internal angles of a quadrilateral triangle is $360^{\circ}$. To find the minimum $d$, we note the limiting case where three of the angles have measure $d$ and the remaining angle has measure approaching zero. Hence, $d \geq 360^{\circ} / 3=120$. It is not difficult to see that for any $0<\alpha<120$, a quadrilateral of which three angles have measure $\alpha$ degrees and fourth angle has measure ( $360-3 \alpha$ ) degrees can be constructed.","HMMT February 2019 Geometry #1","geometry","numerical","True","4","120","1.0"
"In rectangle $A B C D$, points $E$ and $F$ lie on sides $A B$ and $C D$ respectively such that both $A F$ and $C E$ are perpendicular to diagonal $B D$. Given that $B F$ and $D E$ separate $A B C D$ into three polygons with equal area, and that $E F=1$, find the length of $B D$.","√3","Observe that $A E C F$ is a parallelogram. The equal area condition gives that $B E=D F=\frac{1}{3} A B$. Let $C E \cap B D=X$, then $\frac{E X}{C X}=\frac{B E}{C D}=\frac{1}{3}$, so that $B X^{2}=E X \cdot C X=3 E X^{2} \Rightarrow B X=\sqrt{3} E X \Rightarrow \angle E B X=30^{\circ}$. Now, $C E=2 B E=C F$, so $C E F$ is an equilateral triangle and $C D=\frac{3}{2} C F=\frac{3}{2}$. Hence, $B D=\frac{2}{\sqrt{3}} \cdot \frac{3}{2}=\sqrt{3}$.
3. Let $A B$ be a line segment with leng","HMMT February 2019 Geometry #2","geometry","numerical","True","4","3","2.5"
"Let $A B$ be a line segment with length 2 , and $S$ be the set of points $P$ on the plane such that there exists point $X$ on segment $A B$ with $A X=2 P X$. Find the area of $S$.","√3+2π/3","Observe that for any $X$ on segment $A B$, the locus of all points $P$ such that $A X=2 P X$ is a circle centered at $X$ with radius $\frac{1}{2} A X$. Note that the point $P$ on this circle where $P A$ forms the largest angle with $A B$ is where $P A$ is tangent to the circle at $P$, such that $\angle P A B=\arcsin (1 / 2)=30^{\circ}$. Therefore, if we let $Q$ and $Q^{\prime}$ be the tangent points of the tangents from $A$ to the circle centered at $B$ (call it $\omega$ ) with radius $\frac{1}{2} A B$, we have that $S$ comprises the two 30-60-90 triangles $A Q B$ and $A Q^{\prime} B$, each with area $\frac{1}{2} \sqrt{3}$ and the $240^{\circ}$ sector of $\omega$ bounded by $B Q$ and $B Q^{\prime}$ with area $\frac{2}{3} \pi$. Therefore the total area is $\sqrt{3}+\frac{2 \pi}{3}$","HMMT February 2019 Geometry #3","geometry","numerical","True","4","5","3"
"Convex hexagon $A B C D E F$ is drawn in the plane such that $A C D F$ and $A B D E$ are parallelograms with area 168. $A C$ and $B D$ intersect at $G$. Given that the area of $A G B$ is 10 more than the area of $C G B$, find the smallest possible area of hexagon $A B C D E F$.","","","HMMT February 2019 Geometry #4","geometry","numerical","True","5","294","4"
"Isosceles triangle $A B C$ with $A B=A C$ is inscribed in a unit circle $\Omega$ with center $O$. Point $D$ is the reflection of $C$ across $A B$. Given that $D O=\sqrt{3}$, find the area of triangle $A B C$.","(√2+1)/2 OR (√2-1)/2","Solution 1. Observe that
$\angle D B O=\angle D B A+\angle A B O=\angle C B A+\angle B A O=\frac{1}{2}(\angle C B A+\angle B C A)+\frac{1}{2}(\angle B A C)=\frac{1}{2}\left(180^{\circ}\right)=90^{\circ}$.
Thus $B C=B D=\sqrt{2}$ by the Pythagorean Theorem on $\triangle D B O$. Then $\angle B O C=90^{\circ}$, and the distance from $O$ to $B C$ is $\frac{\sqrt{2}}{2}$. Depending on whether $A$ is on the same side of $B C$ as $O$, the height from $A$ to $B C$ is either $1+\frac{\sqrt{2}}{2}$ or $1-\frac{\sqrt{2}}{2}$, so the area is $\left(\sqrt{2} \cdot\left(","HMMT February 2019 Geometry #5","geometry","numerical","True","5","6","4.5"
"Six unit disks $C_{1}, C_{2}, C_{3}, C_{4}, C_{5}, C_{6}$ are in the plane such that they don't intersect each other and $C_{i}$ is tangent to $C_{i+1}$ for $1 \leq i \leq 6$ (where $C_{7}=C_{1}$ ). Let $C$ be the smallest circle that contains all six disks. Let $r$ be the smallest possible radius of $C$, and $R$ the largest possible radius. Find $R-r$.","√3-1","The minimal configuration occurs when the six circles are placed with their centers at the vertices of a regular hexagon of side length 2 . This gives a radius of 3 .
The maximal configuration occurs when four of the circles are placed at the vertices of a square of side length 2. Letting these circles be $C_{1}, C_{3}, C_{4}, C_{6}$ in order, we place the last two so that $C_{2}$ is tangent to $C_{1}$ and $C_{3}$ and $C_{5}$ is tangent to $C_{4}$ and $C_{6}$. (Imagine pulling apart the last two circles on the plane; this is the configuration you end up with.) The resulting radius is $2+\sqrt{3}$, so the answer is $\sqrt{3}-1$.","HMMT February 2019 Geometry #6","geometry","numerical","True","5","4","5"
"Let $A B C$ be a triangle with $A B=13, B C=14, C A=15$. Let $H$ be the orthocenter of $A B C$. Find the radius of the circle with nonzero radius tangent to the circumcircles of $A H B, B H C, C H A$.","65/4","Solution 1. We claim that the circle in question is the circumcircle of the anticomplementary triangle of $A B C$, the triangle for which $A B C$ is the medial triangle.
Let $A^{\prime} B^{\prime} C^{\prime}$ be the anticomplementary triangle of $A B C$, such that $A$ is the midpoint of $B^{\prime} C^{\prime}, B$ is the midpoint of $A^{\prime} C^{\prime}$, and $C$ is the midpoint of $A^{\prime} B^{\prime}$. Denote by $\omega$ the circumcircle of $A^{\prime} B^{\prime} C^{\prime}$. Denote by $\omega_{A}$ the circumcircle of $B H C$, and similarly define $\omega_{B}, \omega_{C}$.
Since $\angle B A^{\prime} C=\angle B A C=180^{\circ}-\angle B H C$, we have that $\omega_{A}$ passes through $A^{\prime}$. Thus, $\omega_{A}$ can be redefined as the circumcircle of $A^{\prime} B C$. Since triangle $A^{\prime} B^{\prime} C^{\prime}$ is triangle $A^{\prime} B C$ dilated by a factor of 2 from point $A^{\prime}, \omega$ is $\omega_{A}$ dilated by a factor of 2 from point $A^{\prime}$. Thus, circles $\omega$ and $\omega_{A}$ are tangent at $A^{\prime}$.
By a similar logic, $\omega$ is also tangent to $\omega_{B}$ and $\omega_{C}$. Therefore, the circumcircle of the anticomplementary triangle of $A B C$ is indeed the circle that the question is asking for.
Using the formula $R=\frac{a b c}{4 A}$, we can find that the circumradius of triangle $A B C$ is $\frac{65}{8}$. The circumradius of the anticomplementary triangle is double of that, so the answer is $\frac{65}{4}$.","HMMT February 2019 Geometry #7","geometry","numerical","True","5","69","5.5"
"In triangle $A B C$ with $A B<A C$, let $H$ be the orthocenter and $O$ be the circumcenter. Given that the midpoint of $O H$ lies on $B C, B C=1$, and the perimeter of $A B C$ is 6 , find the area of $A B C$.","6/7","Solution 1. Observe that
$\angle D B O=\angle D B A+\angle A B O=\angle C B A+\angle B A O=\frac{1}{2}(\angle C B A+\angle B C A)+\frac{1}{2}(\angle B A C)=\frac{1}{2}\left(180^{\circ}\right)=90^{\circ}$.
Thus $B C=B D=\sqrt{2}$ by the Pythagorean Theorem on $\triangle D B O$. Then $\angle B O C=90^{\circ}$, and the distance from $O$ to $B C$ is $\frac{\sqrt{2}}{2}$. Depending on whether $A$ is on the same side of $B C$ as $O$, the height from $A$ to $B C$ is either $1+\frac{\sqrt{2}}{2}$ or $1-\frac{\sqrt{2}}{2}$, so the area is $\left(\sqrt{2} \cdot\left(1 \pm \frac{\sqrt{2}}{2}\right)\right) / 2=\frac{\sqrt{2} \pm 1}{2}$.
Solution 2. One can observe that $\angle D B A=\angle C B A=\angle A C B$ by property of reflection and $A B C$ being isosceles, hence $D B$ is tangent to $\Omega$ and Power of a Point (and reflection property) gives $B C= B D=\sqrt{O D^{2}-O B^{2}}=\sqrt{2}$. Proceed as in Solution 1.
Note. It was intended, but not specified in the problem statement that triangle $A B C$ is acute, so we accepted either of the two possible answers.
6. Six unit disks $C_{1}, C_{2}, C_{3}, C_{4}, C_{5}, C_{6}$ are in the plane such that they don't intersect each other and $C_{i}$ is tangent to $C_{i+1}$ for $1 \leq i \leq 6$ (where $C_{7}=C_{1}$ ). Let $C$ be the smallest circle that contains all six disks. Let $r$ be the smallest possible radius of $C$, and $R$ the largest possible radius. Find $R-r$.
Proposed by: Daniel Liu
Answer: $\sqrt{3}-1$
The minimal configuration occurs when the six circles are placed with their centers at the vertices of a regular hexagon of side length 2 . This gives a radius of 3 .
The maximal configuration occurs when four of the circles are placed at the vertices of a square of side length 2. Letting these circles be $C_{1}, C_{3}, C_{4}, C_{6}$ in order, we place the last two so that $C_{2}$ is tangent to $C_{1}$ and $C_{3}$ and $C_{5}$ is tangent to $C_{4}$ and $C_{6}$. (Imagine pulling apart the last two circles on the plane; this is the configuration you end up with.) The resulting radius is $2+\sqrt{3}$, so the answer is $\sqrt{3}-1$.
Now we present the proofs for these configurations being optimal. First, we rephrase the problem: given an equilateral hexagon of side length 2 , let $r$ be the minimum radius of a circle completely containing the vertices of the hexagon. Find the difference between the minimum and maximum values in $r$. (Technically this $r$ is off by one from the actual problem, but since we want $R-r$ in the actual problem, this difference doesn't matter.)
Proof of minimality. We claim the minimal configuration stated above cannot be covered by a circle with radius $r<2$. If $r<2$ and all six vertices $O_{1}, O_{2}, \ldots, O_{6}$ are in the circle, then we have that $\angle O_{1} O O_{2}>60^{\circ}$ since $O_{1} O_{2}$ is the largest side of the triangle $O_{1} O O_{2}$, and similar for other angles $\angle O_{2} O O_{3}, \angle O_{3} O O_{4}, \ldots$, but we cannot have six angles greater than $60^{\circ}$ into $360^{\circ}$, contradiction. Therefore $r \geq 2$.
Proof of maximality. Let $A B C D E F$ be the hexagon, and choose the covering circle to be centered at $O$, the midpoint of $A D$, and radius $\sqrt{3}+1$. We claim the other vertices are inside this covering circle. First, we will show the claim for $B$. Let $M$ be the midpoint of $A C$. Since $A B C$ is isosceles and $A M \geq 1$, we must have $B M \leq \sqrt{4-1}=\sqrt{3}$. Furthermore, $M O$ is a midline of $A C D$, so $M O=\frac{C D}{2}=1$. Thus by the triangle inequality, $O B \leq M B+O M=\sqrt{3}+1$, proving the claim. A similar argument proves the claim for $C, E, F$. Finally, an analogous argument to above shows if we define $P$ as the midpoint of $B E$, then $A P \leq \sqrt{3}+1$ and $D P \leq \sqrt{3}+1$, so by triangle inequality $A D \leq 2(\sqrt{3}+1)$. Hence $O A=O D \leq \sqrt{3}+1$, proving the claim for $A$ and $D$. Thus the covering circle contains all six vertices of $A B C D E F$.
7. Let $A B C$ be a triangle with $A B=13, B C=14, C A=15$. Let $H$ be the orthocenter of $A B C$. Find the radius of the circle with nonzero radius tangent to the circumcircles of $A H B, B H C, C H A$.
Proposed by: Michael Ren
Answer: $\frac{65}{4}$
Solution 1. We claim that the circle in question is the circumcircle of the anticomplementary triangle of $A B C$, the triangle for which $A B C$ is the medial triangle.
Let $A^{\prime} B^{\prime} C^{\prime}$ be the anticomplementary triangle of $A B C$, such that $A$ is the midpoint of $B^{\prime} C^{\prime}, B$ is the midpoint of $A^{\prime} C^{\prime}$, and $C$ is the midpoint of $A^{\prime} B^{\prime}$. Denote by $\omega$ the circumcircle of $A^{\prime} B^{\prime} C^{\prime}$. Denote by $\omega_{A}$ the circumcircle of $B H C$, and similarly define $\omega_{B}, \omega_{C}$.
Since $\angle B A^{\prime} C=\angle B A C=180^{\circ}-\angle B H C$, we have that $\omega_{A}$ passes through $A^{\prime}$. Thus, $\omega_{A}$ can be redefined as the circumcircle of $A^{\prime} B C$. Since triangle $A^{\prime} B^{\prime} C^{\prime}$ is triangle $A^{\prime} B C$ dilated by a factor of 2 from point $A^{\prime}, \omega$ is $\omega_{A}$ dilated by a factor of 2 from point $A^{\prime}$. Thus, circles $\omega$ and $\omega_{A}$ are tangent at $A^{\prime}$.
By a similar logic, $\omega$ is also tangent to $\omega_{B}$ and $\omega_{C}$. Therefore, the circumcircle of the anticomplementary triangle of $A B C$ is indeed the circle that the question is asking for.
Using the formula $R=\frac{a b c}{4 A}$, we can find that the circumradius of triangle $A B C$ is $\frac{65}{8}$. The circumradius of the anticomplementary triangle is double of that, so the answer is $\frac{65}{4}$.
Solution 2. It is well-known that the circumcircle of $A H B$ is the reflection of the circumcircle of $A B C$ over $A B$. In particular, the circumcircle of $A H B$ has radius equal to the circumradius $R=\frac{65}{8}$. Similarly, the circumcircles of $B H C$ and $C H A$ have radii $R$. Since $H$ lies on all three circles (in the question), the circle centered at $H$ with radius $2 R=\frac{65}{4}$ is tangent to each circle at the antipode of $H$ in that circle.
8. In triangle $A B C$ with $A B<A C$, let $H$ be the orthocenter and $O$ be the circumcenter. Given that the midpoint of $O H$ lies on $B C, B C=1$, and the perimeter of $A B C$ is 6 , find the area of $A B C$.
Proposed by: Andrew Lin
Answer: $\frac{6}{7}$
Solution 1. Let $A^{\prime} B^{\prime} C^{\prime}$ be the medial triangle of $A B C$, where $A^{\prime}$ is the midpoint of $B C$ and so on. Notice that the midpoint of $O H$, which is the nine-point-center $N$ of triangle $A B C$, is also the circumcircle of $A^{\prime} B^{\prime} C^{\prime}$ (since the midpoints of the sides of $A B C$ are on the nine-point circle). Thus, if $N$ is on $B C$, then $N A^{\prime}$ is parallel to $B^{\prime} C^{\prime}$, so by similarity, we also know that $O A$ is parallel to $B C$.
Next, $A B<A C$, so $B$ is on the minor arc $A C$. This means that $\angle O A C=\angle O C A=\angle C$, so $\angle A O C= 180-2 \angle C$. This gives us the other two angles of the triangle in terms of angle $C: \angle B=90+\angle C$ and $\angle A=90-2 \angle C$. To find the area, we now need to find the height of the triangle from $A$ to $B C$, and this is easiest by finding the circumradius $R$ of the triangle.
We do this by the Extended Law of Sines. Letting $A C=x$ and $A B=5-x$,

$$
\frac{1}{\sin (90-2 C)}=\frac{x}{\sin (90+C)}=\frac{5-x}{\sin C}=2 R
$$
which can be simplified to
$$
\frac{1}{\cos 2 C}=\frac{x}{\cos C}=\frac{5-x}{\sin C}=2 R
$$

This means that

$$
\frac{1}{\cos 2 C}=\frac{(x)+(5-x)}{(\cos C)+(\sin C)}=\frac{5}{\cos C+\sin C}
$$
and the rest is an easy computation:
$$
\cos C+\sin C=5 \cos 2 C=5\left(\cos ^{2} C-\sin ^{2} C\right)
$$

$$
\frac{1}{5}=\cos C-\sin C
$$

Squaring both sides,

$$
\frac{1}{25}=\cos ^{2} C-2 \sin C \cos C+\sin ^{2} C=1-\sin 2 C
$$
so $\sin 2 C=\frac{24}{25}$, implying that $\cos 2 C=\frac{7}{25}$. Therefore, since $\frac{1}{\cos 2 C}=2 R$ from above, $R=\frac{25}{14}$. Finally, viewing triangle $A B C$ with $B C=1$ as the base, the height is
$$
\sqrt{R^{2}-\left(\frac{B C}{2}\right)^{2}}=\frac{12}{7}
$$

by the Pythagorean Theorem, yielding an area of $\frac{1}{2} \cdot 1 \cdot \frac{12}{7}=\frac{6}{7}$.","HMMT February 2019 Geometry #8","geometry","numerical","True","4","13","6"
