id,source,db_answer,db_aime_answer,csv_answer,csv_aime_answer
7999,SMT 2022 Geometry #5,\tfrac{675}{78},753,\frac{625}{78},703
8012,SMT 2014 Geometry #4,\frac{50}{3},59,\frac{50}{3},53
8044,SMT 2020 Geometry #3,1,1,\frac{45}{38},83
8014,SMT 2014 Geometry #6,\frac{196\sqrt{3}}{169},368,\frac{192\sqrt{3}}{169},361
8045,SMT 2020 Geometry #4,\frac{45}{38},83,25,25
8058,SMT 2019 Geometry #5,\frac{6\sqrt{3}}{5},14,\frac{6\sqrt{3}}{5},11
8078,SMT 2018 Geometry #7,\frac{\sqrt{2}}{3},6,\frac{\sqrt{2}}{3},5
8081,SMT 2018 Geometry #10,\frac{8\sqrt{6}}{9},23,\frac{8\sqrt{6}}{9},17
8378,PUMaC 2008 Team #5,10\sqrt{6},16,10\sqrt{6},70
8380,PUMaC 2008 Team #7,4\pi + 8,12,4\pi + 8,20
8402,PUMaC 2016 Geometry B #7,421,421,9,9
8403,PUMaC 2016 Geometry B #8,175,175,421,421
8459,PUMaC 2014 Algebra B #6,1685,685,34,34
8465,PUMaC 2014 Combinatorics B #5,19,19,7921,921
8499,PUMaC 2013 Combinatorics A #1,12,12,24,24
8553,PUMaC 2013 Team #12,2\sqrt{13},15,2\sqrt{13},26
8565,PUMaC 2010 Algebra A #8,22,22,28,28
8568,PUMaC 2010 Combinatorics B #4,120,120,32,32
8569,PUMaC 2010 Combinatorics A #4,32,32,18,18
10028,HMMT February 2014 Algebra #7,101,101,\frac{5151}{50},201
10078,HMMT February 2014 Guts #27,400,400,5530,530
10125,HMMT February 2013 Guts #12,10,10,202,202
10127,HMMT February 2013 Guts #14,9,9,\frac{7}{9},16
10167,HMMT February 2012 Algebra #8,4,4,84,84
9810,HMMT February 2016 Geometry #9,\frac{28\sqrt{69}}{5},102,\frac{28}{5}\sqrt{69},97
10038,HMMT February 2014 Combinatorics #7,720,720,2048,48
10049,HMMT February 2014 Geometry #8,\frac{1}{2} *GA * GY * \sin{x},0,\frac{600}{73},673
10068,HMMT February 2014 Guts #17,11,11,1007,7
9807,HMMT February 2016 Geometry #6,\frac{21\sqrt{3}}{8},32,\frac{21\sqrt{3}}{8},29
9829,HMMT February 2016 Guts #18,\tfrac{1}{2},3,\frac{1}{2},1
9963,HMMT February 2024 Combinatorics #4,2048,48,4096,96
9659,HMMT February 2025 Guts #6,2 \sqrt{13},15,2\sqrt{13},26
10100,HMMT February 2013 Algebra #7,\frac{15309}{256},565,\frac{15309}{256},571
10058,HMMT February 2014 Guts #7,4\sqrt{5},9,4\sqrt{5},24
9893,HMMT February 2023 Combinatorics #6,2736,736,2664,664
10059,HMMT February 2014 Guts #8,2^{16}-1,535,131069,69
10163,HMMT February 2012 Algebra #4,\frac{1005}{1006},0,\frac{1005}{1006},11
9675,HMMT February 2025 Guts #22,\frac{-5-\sqrt{5}}{2},12,\frac{-5-\sqrt{5}}{2},10
10801,HMMT February 2022 Combinatorics #9,2022,22,216695,695
9831,HMMT February 2016 Guts #20,\frac{1170\sqrt{37}}{1379},586,\frac{1170\sqrt{37}}{1379},549
9899,HMMT February 2023 Geometry #2,2\sqrt{13},15,2\sqrt{13},26
9902,HMMT February 2023 Geometry #5,42\sqrt{2},44,42\sqrt{2},84
9976,HMMT February 2024 Geometry #7,8\sqrt{11},19,8\sqrt{11},99
10025,HMMT February 2014 Algebra #4,-3/2,999,-\frac{3}{2},5
10042,HMMT February 2014 Geometry #1,2\sqrt{21},23,2\sqrt{21},42
10043,HMMT February 2014 Geometry #2,24,24,\frac{169}{24},193
10044,HMMT February 2014 Geometry #3,14,14,8\sqrt{14},22
10051,HMMT February 2014 Geometry #10,\dfrac4{15},19,\frac{1235}{108},343
10073,HMMT February 2014 Guts #22,2\sqrt{42},44,2\sqrt{42},84
10074,HMMT February 2014 Guts #23,\frac{117}{268},385,\frac{8825}{201},47
10096,HMMT February 2013 Algebra #3,103,103,577,577
10103,HMMT February 2013 Algebra #10,14925,925,89,89
10126,HMMT February 2013 Guts #13,5,5,7,7
10169,HMMT February 2012 Algebra #10,1,1,126,126
10266,HMMT February 2009 Geometry #2,23,23,\frac{2\sqrt{3}}{3},5
10272,HMMT February 2009 Geometry #2,23,23,\frac{2\sqrt{3}}{3},5
10798,HMMT February 2022 Combinatorics #6,108,108,1390,390
10802,HMMT February 2022 Combinatorics #10,1,1,1000000000004,4
9592,HMMT February 2019 Geometry #9,\frac{141\sqrt{11}}{2},154,\frac{141\sqrt{11}}{2},152
9713,HMMT February 2017 Geometry #8,\frac{17 + \sqrt{51}}{34},102,\frac{17+\sqrt{51}}{34},85
9716,HMMT February 2017 Combinatorics #1,\frac{11}{20},31,\frac{11}{200},211
10151,HMMT February 2013 Geometry #2,2\sqrt{6},8,2\sqrt{6},14
9808,HMMT February 2016 Geometry #7,1021,1021,1021,21
9805,HMMT February 2016 Geometry #4,\frac{7\sqrt{3}}{3},13,\frac{7\sqrt{3}}{3},10
9831,HMMT February 2016 Guts #20,\frac{1170\sqrt{37}}{1379},586,\frac{1170\sqrt{37}}{1379},549
9899,HMMT February 2023 Geometry #2,2\sqrt{13},15,2\sqrt{13},26
9902,HMMT February 2023 Geometry #5,42\sqrt{2},44,42\sqrt{2},84
9976,HMMT February 2024 Geometry #7,8\sqrt{11},19,8\sqrt{11},99
10025,HMMT February 2014 Algebra #4,-3/2,999,-\frac{3}{2},5
10042,HMMT February 2014 Geometry #1,2\sqrt{21},23,2\sqrt{21},42
10043,HMMT February 2014 Geometry #2,24,24,\frac{169}{24},193
10044,HMMT February 2014 Geometry #3,14,14,8\sqrt{14},22
10051,HMMT February 2014 Geometry #10,\dfrac4{15},19,\frac{1235}{108},343
10073,HMMT February 2014 Guts #22,2\sqrt{42},44,2\sqrt{42},84
10074,HMMT February 2014 Guts #23,\frac{117}{268},385,\frac{8825}{201},47
10096,HMMT February 2013 Algebra #3,103,103,577,577
10103,HMMT February 2013 Algebra #10,14925,925,89,89
10126,HMMT February 2013 Guts #13,5,5,7,7
10169,HMMT February 2012 Algebra #10,1,1,126,126
9808,HMMT February 2016 Geometry #7,1021,1021,1021,21
9805,HMMT February 2016 Geometry #4,\frac{7\sqrt{3}}{3},13,\frac{7\sqrt{3}}{3},10
9831,HMMT February 2016 Guts #20,\frac{1170\sqrt{37}}{1379},586,\frac{1170\sqrt{37}}{1379},549
9899,HMMT February 2023 Geometry #2,2\sqrt{13},15,2\sqrt{13},26
9902,HMMT February 2023 Geometry #5,42\sqrt{2},44,42\sqrt{2},84
9976,HMMT February 2024 Geometry #7,8\sqrt{11},19,8\sqrt{11},99
10025,HMMT February 2014 Algebra #4,-3/2,999,-\frac{3}{2},5
10042,HMMT February 2014 Geometry #1,2\sqrt{21},23,2\sqrt{21},42
10043,HMMT February 2014 Geometry #2,24,24,\frac{169}{24},193
10044,HMMT February 2014 Geometry #3,14,14,8\sqrt{14},22
10051,HMMT February 2014 Geometry #10,\dfrac4{15},19,\frac{1235}{108},343
10073,HMMT February 2014 Guts #22,2\sqrt{42},44,2\sqrt{42},84
10074,HMMT February 2014 Guts #23,\frac{117}{268},385,\frac{8825}{201},47
10096,HMMT February 2013 Algebra #3,103,103,577,577
10103,HMMT February 2013 Algebra #10,14925,925,89,89
10126,HMMT February 2013 Guts #13,5,5,7,7
10169,HMMT February 2012 Algebra #10,1,1,126,126
